,idx,real_data,sim_data,timestep,timeunit,Diff
0,0,2,2,1200.0,10000.0,0
1,1,2,0,1200.0,10000.0,2
2,2,3,0,1200.0,10000.0,3
3,3,0,0,1200.0,10000.0,0
4,4,2,0,1200.0,10000.0,2
5,5,2,1,1200.0,10000.0,1
6,6,0,0,1200.0,10000.0,0
7,7,0,0,1200.0,10000.0,0
8,8,0,2,1200.0,10000.0,2
9,9,0,0,1200.0,10000.0,0
10,10,0,0,1200.0,10000.0,0
11,11,0,0,1200.0,10000.0,0
12,12,0,0,1200.0,10000.0,0
13,13,2,0,1200.0,10000.0,2
14,14,2,5,1200.0,10000.0,3
15,15,2,0,1200.0,10000.0,2
16,16,0,1,1200.0,10000.0,1
17,17,0,0,1200.0,10000.0,0
18,18,0,2,1200.0,10000.0,2
19,19,2,0,1200.0,10000.0,2
20,20,0,0,1200.0,10000.0,0
21,21,0,0,1200.0,10000.0,0
22,22,3,0,1200.0,10000.0,3
23,23,1,0,1200.0,10000.0,1
24,24,0,5,1200.0,10000.0,5
25,25,4,3,1200.0,10000.0,1
26,26,3,1,1200.0,10000.0,2
27,27,1,0,1200.0,10000.0,1
28,28,3,0,1200.0,10000.0,3
29,29,0,0,1200.0,10000.0,0
30,30,0,0,1200.0,10000.0,0
31,31,0,0,1200.0,10000.0,0
32,32,1,0,1200.0,10000.0,1
33,33,0,0,1200.0,10000.0,0
34,34,0,0,1200.0,10000.0,0
35,35,0,0,1200.0,10000.0,0
36,36,2,2,1200.0,10000.0,0
37,37,2,3,1200.0,10000.0,1
38,38,1,1,1200.0,10000.0,0
39,39,1,0,1200.0,10000.0,1
40,40,0,3,1200.0,10000.0,3
41,41,1,0,1200.0,10000.0,1
42,42,1,0,1200.0,10000.0,1
43,43,0,0,1200.0,10000.0,0
44,44,2,2,1200.0,10000.0,0
45,45,4,0,1200.0,10000.0,4
46,46,3,0,1200.0,10000.0,3
47,47,1,2,1200.0,10000.0,1
48,48,4,1,1200.0,10000.0,3
49,49,2,0,1200.0,10000.0,2
50,50,4,0,1200.0,10000.0,4
51,51,4,0,1200.0,10000.0,4
52,52,0,0,1200.0,10000.0,0
53,53,1,0,1200.0,10000.0,1
54,54,0,0,1200.0,10000.0,0
55,55,1,0,1200.0,10000.0,1
56,56,0,0,1200.0,10000.0,0
57,57,0,1,1200.0,10000.0,1
58,58,0,0,1200.0,10000.0,0
59,59,6,0,1200.0,10000.0,6
60,60,3,0,1200.0,10000.0,3
61,61,6,0,1200.0,10000.0,6
62,62,4,0,1200.0,10000.0,4
63,63,6,0,1200.0,10000.0,6
64,64,1,0,1200.0,10000.0,1
65,65,0,0,1200.0,10000.0,0
66,66,0,1,1200.0,10000.0,1
67,67,1,0,1200.0,10000.0,1
68,68,2,0,1200.0,10000.0,2
69,69,0,0,1200.0,10000.0,0
70,70,3,0,1200.0,10000.0,3
71,71,4,0,1200.0,10000.0,4
72,72,0,0,1200.0,10000.0,0
73,73,1,2,1200.0,10000.0,1
74,74,2,0,1200.0,10000.0,2
75,75,2,0,1200.0,10000.0,2
76,76,1,0,1200.0,10000.0,1
77,77,0,0,1200.0,10000.0,0
78,78,3,0,1200.0,10000.0,3
79,79,1,0,1200.0,10000.0,1
80,80,4,2,1200.0,10000.0,2
81,81,3,0,1200.0,10000.0,3
82,82,1,2,1200.0,10000.0,1
83,83,4,3,1200.0,10000.0,1
84,84,0,0,1200.0,10000.0,0
85,85,2,0,1200.0,10000.0,2
86,86,3,0,1200.0,10000.0,3
87,87,0,1,1200.0,10000.0,1
88,88,1,0,1200.0,10000.0,1
89,89,3,0,1200.0,10000.0,3
90,90,0,0,1200.0,10000.0,0
91,91,3,0,1200.0,10000.0,3
92,92,1,0,1200.0,10000.0,1
93,93,0,0,1200.0,10000.0,0
94,94,3,0,1200.0,10000.0,3
95,95,0,3,1200.0,10000.0,3
96,96,2,1,1200.0,10000.0,1
97,97,1,0,1200.0,10000.0,1
98,98,3,0,1200.0,10000.0,3
99,99,0,0,1200.0,10000.0,0
100,100,0,0,1200.0,10000.0,0
101,101,0,0,1200.0,10000.0,0
102,102,0,4,1200.0,10000.0,4
103,103,2,0,1200.0,10000.0,2
104,104,3,0,1200.0,10000.0,3
105,105,4,0,1200.0,10000.0,4
106,106,1,0,1200.0,10000.0,1
107,107,5,0,1200.0,10000.0,5
108,108,3,0,1200.0,10000.0,3
109,109,1,3,1200.0,10000.0,2
110,110,5,0,1200.0,10000.0,5
111,111,4,0,1200.0,10000.0,4
112,112,4,0,1200.0,10000.0,4
113,113,2,0,1200.0,10000.0,2
114,114,3,2,1200.0,10000.0,1
115,115,4,0,1200.0,10000.0,4
116,116,5,1,1200.0,10000.0,4
117,117,7,0,1200.0,10000.0,7
118,118,4,0,1200.0,10000.0,4
119,119,3,0,1200.0,10000.0,3
120,120,3,0,1200.0,10000.0,3
121,121,6,0,1200.0,10000.0,6
122,122,5,2,1200.0,10000.0,3
123,123,4,0,1200.0,10000.0,4
124,124,5,0,1200.0,10000.0,5
125,125,4,0,1200.0,10000.0,4
126,126,4,0,1200.0,10000.0,4
127,127,5,0,1200.0,10000.0,5
128,128,3,0,1200.0,10000.0,3
129,129,6,0,1200.0,10000.0,6
130,130,6,0,1200.0,10000.0,6
131,131,1,0,1200.0,10000.0,1
132,132,6,0,1200.0,10000.0,6
133,133,4,0,1200.0,10000.0,4
134,134,2,0,1200.0,10000.0,2
135,135,1,0,1200.0,10000.0,1
136,136,0,0,1200.0,10000.0,0
137,137,0,0,1200.0,10000.0,0
138,138,5,0,1200.0,10000.0,5
139,139,1,0,1200.0,10000.0,1
140,140,0,0,1200.0,10000.0,0
141,141,6,0,1200.0,10000.0,6
142,142,5,0,1200.0,10000.0,5
143,143,4,4,1200.0,10000.0,0
144,144,5,2,1200.0,10000.0,3
145,145,4,3,1200.0,10000.0,1
146,146,4,4,1200.0,10000.0,0
147,147,5,0,1200.0,10000.0,5
148,148,5,0,1200.0,10000.0,5
149,149,5,2,1200.0,10000.0,3
150,150,0,0,1200.0,10000.0,0
151,151,2,0,1200.0,10000.0,2
152,152,5,6,1200.0,10000.0,1
153,153,5,0,1200.0,10000.0,5
154,154,4,0,1200.0,10000.0,4
155,155,4,0,1200.0,10000.0,4
156,156,5,0,1200.0,10000.0,5
157,157,5,2,1200.0,10000.0,3
158,158,5,0,1200.0,10000.0,5
159,159,5,0,1200.0,10000.0,5
160,160,0,0,1200.0,10000.0,0
161,161,0,2,1200.0,10000.0,2
162,162,0,0,1200.0,10000.0,0
163,163,1,0,1200.0,10000.0,1
164,164,1,3,1200.0,10000.0,2
165,165,1,0,1200.0,10000.0,1
166,166,2,4,1200.0,10000.0,2
167,167,3,0,1200.0,10000.0,3
168,168,0,0,1200.0,10000.0,0
169,169,1,1,1200.0,10000.0,0
170,170,1,0,1200.0,10000.0,1
171,171,1,1,1200.0,10000.0,0
172,172,0,0,1200.0,10000.0,0
173,173,1,0,1200.0,10000.0,1
174,174,1,1,1200.0,10000.0,0
175,175,0,0,1200.0,10000.0,0
176,176,2,0,1200.0,10000.0,2
177,177,3,2,1200.0,10000.0,1
178,178,2,0,1200.0,10000.0,2
179,179,5,0,1200.0,10000.0,5
180,180,2,0,1200.0,10000.0,2
181,181,1,0,1200.0,10000.0,1
182,182,0,0,1200.0,10000.0,0
183,183,1,0,1200.0,10000.0,1
184,184,3,0,1200.0,10000.0,3
185,185,3,0,1200.0,10000.0,3
186,186,0,0,1200.0,10000.0,0
187,187,1,1,1200.0,10000.0,0
188,188,2,2,1200.0,10000.0,0
189,189,3,0,1200.0,10000.0,3
190,190,4,0,1200.0,10000.0,4
191,191,2,0,1200.0,10000.0,2
192,192,1,0,1200.0,10000.0,1
193,193,0,0,1200.0,10000.0,0
194,194,2,0,1200.0,10000.0,2
195,195,3,0,1200.0,10000.0,3
196,196,4,1,1200.0,10000.0,3
197,197,2,0,1200.0,10000.0,2
198,198,3,0,1200.0,10000.0,3
199,199,3,0,1200.0,10000.0,3
200,200,1,0,1200.0,10000.0,1
201,201,2,0,1200.0,10000.0,2
202,202,2,3,1200.0,10000.0,1
203,203,3,0,1200.0,10000.0,3
204,204,2,0,1200.0,10000.0,2
205,205,2,0,1200.0,10000.0,2
206,206,2,0,1200.0,10000.0,2
207,207,0,1,1200.0,10000.0,1
208,208,2,2,1200.0,10000.0,0
209,209,0,0,1200.0,10000.0,0
210,210,2,1,1200.0,10000.0,1
211,211,2,0,1200.0,10000.0,2
212,212,0,0,1200.0,10000.0,0
213,213,2,0,1200.0,10000.0,2
214,214,1,0,1200.0,10000.0,1
215,215,4,0,1200.0,10000.0,4
216,216,1,0,1200.0,10000.0,1
217,217,0,0,1200.0,10000.0,0
218,218,1,1,1200.0,10000.0,0
219,219,3,0,1200.0,10000.0,3
220,220,0,3,1200.0,10000.0,3
221,221,0,0,1200.0,10000.0,0
222,222,2,0,1200.0,10000.0,2
223,223,0,0,1200.0,10000.0,0
224,224,0,0,1200.0,10000.0,0
225,225,3,0,1200.0,10000.0,3
226,226,0,0,1200.0,10000.0,0
227,227,0,0,1200.0,10000.0,0
228,228,0,3,1200.0,10000.0,3
229,229,0,0,1200.0,10000.0,0
230,230,1,2,1200.0,10000.0,1
231,231,0,0,1200.0,10000.0,0
232,232,1,1,1200.0,10000.0,0
233,233,4,2,1200.0,10000.0,2
234,234,0,0,1200.0,10000.0,0
235,235,0,0,1200.0,10000.0,0
236,236,2,0,1200.0,10000.0,2
237,237,1,1,1200.0,10000.0,0
238,238,3,0,1200.0,10000.0,3
239,239,1,0,1200.0,10000.0,1
240,240,1,0,1200.0,10000.0,1
241,241,2,0,1200.0,10000.0,2
242,242,0,0,1200.0,10000.0,0
243,243,0,1,1200.0,10000.0,1
244,244,3,0,1200.0,10000.0,3
245,245,2,0,1200.0,10000.0,2
246,246,1,0,1200.0,10000.0,1
247,247,2,0,1200.0,10000.0,2
248,248,3,0,1200.0,10000.0,3
249,249,3,3,1200.0,10000.0,0
250,250,4,2,1200.0,10000.0,2
251,251,3,2,1200.0,10000.0,1
252,252,6,0,1200.0,10000.0,6
253,253,6,0,1200.0,10000.0,6
254,254,4,0,1200.0,10000.0,4
255,255,6,0,1200.0,10000.0,6
256,256,6,0,1200.0,10000.0,6
257,257,3,0,1200.0,10000.0,3
258,258,0,0,1200.0,10000.0,0
259,259,2,1,1200.0,10000.0,1
260,260,2,0,1200.0,10000.0,2
261,261,3,0,1200.0,10000.0,3
262,262,6,1,1200.0,10000.0,5
263,263,3,0,1200.0,10000.0,3
264,264,4,1,1200.0,10000.0,3
265,265,6,3,1200.0,10000.0,3
266,266,1,0,1200.0,10000.0,1
267,267,3,0,1200.0,10000.0,3
268,268,5,0,1200.0,10000.0,5
269,269,6,0,1200.0,10000.0,6
270,270,6,0,1200.0,10000.0,6
271,271,5,0,1200.0,10000.0,5
272,272,4,0,1200.0,10000.0,4
273,273,4,0,1200.0,10000.0,4
274,274,2,0,1200.0,10000.0,2
275,275,2,0,1200.0,10000.0,2
276,276,3,0,1200.0,10000.0,3
277,277,2,0,1200.0,10000.0,2
278,278,3,0,1200.0,10000.0,3
279,279,3,0,1200.0,10000.0,3
280,280,3,0,1200.0,10000.0,3
281,281,0,0,1200.0,10000.0,0
282,282,0,0,1200.0,10000.0,0
283,283,2,1,1200.0,10000.0,1
284,284,1,0,1200.0,10000.0,1
285,285,2,0,1200.0,10000.0,2
286,286,5,0,1200.0,10000.0,5
287,287,3,1,1200.0,10000.0,2
288,288,4,2,1200.0,10000.0,2
289,289,5,0,1200.0,10000.0,5
290,290,4,1,1200.0,10000.0,3
291,291,4,0,1200.0,10000.0,4
292,292,1,1,1200.0,10000.0,0
293,293,5,0,1200.0,10000.0,5
294,294,6,0,1200.0,10000.0,6
295,295,5,0,1200.0,10000.0,5
296,296,6,0,1200.0,10000.0,6
297,297,4,0,1200.0,10000.0,4
298,298,5,0,1200.0,10000.0,5
299,299,4,0,1200.0,10000.0,4
300,300,5,0,1200.0,10000.0,5
301,301,6,0,1200.0,10000.0,6
302,302,3,0,1200.0,10000.0,3
303,303,5,0,1200.0,10000.0,5
304,304,1,5,1200.0,10000.0,4
305,305,5,0,1200.0,10000.0,5
306,306,5,0,1200.0,10000.0,5
307,307,5,0,1200.0,10000.0,5
308,308,3,1,1200.0,10000.0,2
309,309,5,0,1200.0,10000.0,5
310,310,0,0,1200.0,10000.0,0
311,311,2,0,1200.0,10000.0,2
312,312,0,0,1200.0,10000.0,0
313,313,2,0,1200.0,10000.0,2
314,314,0,0,1200.0,10000.0,0
315,315,3,0,1200.0,10000.0,3
316,316,3,0,1200.0,10000.0,3
317,317,4,2,1200.0,10000.0,2
318,318,4,0,1200.0,10000.0,4
319,319,1,4,1200.0,10000.0,3
320,320,0,0,1200.0,10000.0,0
321,321,1,0,1200.0,10000.0,1
322,322,1,0,1200.0,10000.0,1
323,323,3,1,1200.0,10000.0,2
324,324,0,0,1200.0,10000.0,0
325,325,3,0,1200.0,10000.0,3
326,326,1,0,1200.0,10000.0,1
327,327,1,0,1200.0,10000.0,1
328,328,3,1,1200.0,10000.0,2
329,329,0,0,1200.0,10000.0,0
330,330,1,0,1200.0,10000.0,1
331,331,2,0,1200.0,10000.0,2
332,332,2,1,1200.0,10000.0,1
333,333,2,0,1200.0,10000.0,2
334,334,1,0,1200.0,10000.0,1
335,335,4,0,1200.0,10000.0,4
336,336,2,0,1200.0,10000.0,2
