"No.","Time","Length","TX Rate","Delta Time"
"1","0.000000","169","6.0","0.000000"
"2","0.036341","39","24.0","0.036341"
"3","0.039469","39","24.0","0.003128"
"4","0.049356","286","1.0","0.009887"
"5","0.050556","126","1.0","0.001200"
"6","0.064737","823","6.0","0.014181"
"7","0.082497","39","24.0","0.017760"
"8","0.085683","39","24.0","0.003186"
"9","0.101354","39","6.0","0.015671"
"10","0.103643","57","12.0","0.002289"
"11","0.105353","357","72.2","0.001710"
"12","0.107926","39","24.0","0.002573"
"13","0.108007","57","24.0","0.000081"
"14","0.109159","39","24.0","0.001152"
"15","0.109239","57","24.0","0.000080"
"16","0.117085","169","6.0","0.007846"
"17","0.129846","823","6.0","0.012761"
"18","0.130560","39","1.0","0.000714"
"19","0.133802","39","1.0","0.003242"
"20","0.133875","154","72.2","0.000073"
"21","0.151475","286","1.0","0.017600"
"22","0.153637","39","24.0","0.002162"
"23","0.154713","39","24.0","0.001076"
"24","0.155321","39","24.0","0.000608"
"25","0.181105","39","1.0","0.025784"
"26","0.185331","39","1.0","0.004226"
"27","0.192741","823","6.0","0.007410"
"28","0.225221","169","6.0","0.032480"
"29","0.227796","39","1.0","0.002575"
"30","0.231838","39","1.0","0.004042"
"31","0.239757","197","72.2","0.007919"
"32","0.241705","39","24.0","0.001948"
"33","0.241780","57","24.0","0.000075"
"34","0.243727","39","24.0","0.001947"
"35","0.243799","57","24.0","0.000072"
"36","0.254915","286","1.0","0.011116"
"37","0.257018","823","6.0","0.002103"
"38","0.265810","154","72.2","0.008792"
"39","0.273398","39","24.0","0.007588"
"40","0.276935","39","24.0","0.003537"
"41","0.287699","39","6.0","0.010764"
"42","0.304517","57","6.0","0.016818"
"43","0.323038","39","1.0","0.018521"
"44","0.324451","823","6.0","0.001413"
"45","0.328735","39","1.0","0.004284"
"46","0.335635","39","1.0","0.006900"
"47","0.337738","169","6.0","0.002103"
"48","0.356440","286","1.0","0.018702"
"49","0.357643","126","1.0","0.001203"
"50","0.359012","126","1.0","0.001369"
"51","0.359728","39","1.0","0.000716"
"52","0.392647","823","6.0","0.032919"
"53","0.399029","313","72.2","0.006382"
"54","0.399280","296","72.2","0.000251"
"55","0.401455","39","24.0","0.002175"
"56","0.401561","57","24.0","0.000106"
"57","0.402166","39","24.0","0.000605"
"58","0.405850","39","24.0","0.003684"
"59","0.405932","57","24.0","0.000082"
"60","0.424200","154","72.2","0.018268"
"61","0.424789","39","24.0","0.000589"
"62","0.425378","39","24.0","0.000589"
"63","0.425999","39","24.0","0.000621"
"64","0.426590","39","24.0","0.000591"
"65","0.448332","39","24.0","0.021742"
"66","0.450475","169","6.0","0.002143"
"67","0.451993","39","24.0","0.001518"
"68","0.456574","823","6.0","0.004581"
"69","0.458890","286","1.0","0.002316"
"70","0.494662","39","24.0","0.035772"
"71","0.498322","39","24.0","0.003660"
"72","0.504853","39","24.0","0.006531"
"73","0.505387","39","12.0","0.000534"
"74","0.520527","823","6.0","0.015140"
"75","0.538549","234","72.2","0.018022"
"76","0.540733","39","24.0","0.002184"
"77","0.540831","57","24.0","0.000098"
"78","0.540952","39","24.0","0.000121"
"79","0.544593","39","24.0","0.003641"
"80","0.544690","57","24.0","0.000097"
"81","0.561362","286","1.0","0.016672"
"82","0.563164","169","6.0","0.001802"
"83","0.563890","154","72.2","0.000726"
"84","0.591200","39","1.0","0.027310"
"85","0.594469","823","6.0","0.003269"
"86","0.595083","39","1.0","0.000614"
"87","0.595697","45","24.0","0.000614"
"88","0.637741","39","1.0","0.042044"
"89","0.641332","39","1.0","0.003591"
"90","0.648646","823","6.0","0.007314"
"91","0.663516","286","1.0","0.014870"
"92","0.664698","126","1.0","0.001182"
"93","0.676069","169","6.0","0.011371"
"94","0.676745","208","72.2","0.000676"
"95","0.683392","39","24.0","0.006647"
"96","0.686982","39","24.0","0.003590"
"97","0.687065","57","24.0","0.000083"
"98","0.694540","39","24.0","0.007475"
"99","0.694790","39","24.0","0.000250"
"100","0.694864","57","24.0","0.000074"
"101","0.697282","39","24.0","0.002418"
"102","0.697854","39","24.0","0.000572"
"103","0.698836","39","24.0","0.000982"
"104","0.699467","39","24.0","0.000631"
"105","0.704879","57","12.0","0.005412"
"106","0.712639","437","6.0","0.007760"
"107","0.713918","154","72.2","0.001279"
"108","0.720634","823","6.0","0.006716"
"109","0.722391","45","24.0","0.001757"
"110","0.732120","39","1.0","0.009729"
"111","0.736459","39","1.0","0.004339"
"112","0.765988","286","1.0","0.029529"
"113","0.779089","39","1.0","0.013101"
"114","0.782693","39","1.0","0.003604"
"115","0.784612","823","6.0","0.001919"
"116","0.789137","169","6.0","0.004525"
"117","0.811358","62","1.0","0.022221"
"118","0.812542","39","1.0","0.001184"
"119","0.815194","437","6.0","0.002652"
"120","0.825247","39","1.0","0.010053"
"121","0.828993","39","1.0","0.003746"
"122","0.846903","192","72.2","0.017910"
"123","0.847000","196","72.2","0.000097"
"124","0.848659","823","6.0","0.001659"
"125","0.849230","39","24.0","0.000571"
"126","0.849328","57","24.0","0.000098"
"127","0.851135","39","24.0","0.001807"
"128","0.851217","57","24.0","0.000082"
"129","0.868394","286","1.0","0.017177"
"130","0.870729","39","24.0","0.002335"
"131","0.874455","39","24.0","0.003726"
"132","0.875098","154","72.2","0.000643"
"133","0.902293","169","6.0","0.027195"
"134","0.912511","823","6.0","0.010218"
"135","0.917463","437","6.0","0.004952"
"136","0.917571","39","24.0","0.000108"
"137","0.920715","39","24.0","0.003144"
"138","0.963324","39","24.0","0.042609"
"139","0.971033","286","1.0","0.007709"
"140","0.972236","126","1.0","0.001203"
"141","0.973466","126","1.0","0.001230"
"142","0.974636","39","1.0","0.001170"
"143","0.976554","823","6.0","0.001918"
"144","0.984542","200","72.2","0.007988"
"145","0.986841","39","24.0","0.002299"
"146","0.986924","57","24.0","0.000083"
"147","0.991496","39","24.0","0.004572"
"148","0.991596","57","24.0","0.000100"
"149","1.008768","154","72.2","0.017172"
"150","1.014849","39","24.0","0.006081"
"151","1.015352","169","6.0","0.000503"
"152","1.018323","39","24.0","0.002971"
"153","1.019998","437","6.0","0.001675"
"154","1.022770","39","6.0","0.002772"
"155","1.048209","823","6.0","0.025439"
"156","1.060937","39","24.0","0.012728"
"157","1.064650","39","24.0","0.003713"
"158","1.073105","286","1.0","0.008455"
"159","1.077612","45","24.0","0.004507"
"160","1.079438","57","24.0","0.001826"
"161","1.083038","39","24.0","0.003600"
"162","1.089753","57","24.0","0.006715"
"163","1.107954","39","24.0","0.018201"
"164","1.110449","39","1.0","0.002495"
"165","1.112796","823","6.0","0.002347"
"166","1.113829","39","1.0","0.001033"
"167","1.114098","45","24.0","0.000269"
"168","1.115381","57","1.0","0.001283"
"169","1.121403","193","72.2","0.006022"
"170","1.122291","437","6.0","0.000888"
"171","1.124274","39","24.0","0.001983"
"172","1.124347","57","24.0","0.000073"
"173","1.126160","39","24.0","0.001813"
